vomit,blood,y,x,street,lat,urine,eventdate,humanfouling,long
 NO,NO,179436,528574,CHESTER MEWS,51.49926,NO,30/09/2012,Yes,-0.1490971
 NO,NO,182279,525565,MARYLANDS ROAD,51.525486,NO,30/09/2012,Yes,-0.1914112
 NO,Yes,181251,529112,OXFORD STREET,51.51545,NO,30/09/2012,NO,-0.1406854
 NO,NO,183132,525749,ANDOVER PLACE,51.53311,Yes,23/09/2013,NO,-0.1884559
 NO,NO,181433,529439,BERNERS PLACE,51.51701,NO,23/09/2013,Yes,-0.1359096
 NO,NO,180226,529316,CROWN PASSAGE,51.50619,Yes,23/09/2013,NO,-0.1381302
 NO,NO,181137,528744,DERING STREET,51.51451,Yes,23/09/2013,NO,-0.1460328
 Yes,NO,180671,529636,HAYMARKET,51.510117,NO,23/09/2013,NO,-0.1333568
 NO,NO,181046,529446,INGESTRE PLACE,51.51353,Yes,23/09/2013,NO,-0.1359509
 NO,NO,182886,523890,KILBURN LANE,51.53131,NO,23/09/2013,Yes,-0.2153301
 NO,NO,180226,529316,KING STREET,51.50619,Yes,23/09/2013,NO,-0.1381302
 NO,NO,180828,530173,ROSE STREET,51.511402,Yes,23/09/2013,NO,-0.1255604
 NO,NO,181094,528532,SOUTH MOLTON STREET,51.514175,Yes,23/09/2013,Yes,-0.1490951
 Yes,NO,183157,527065,SOUTHCOTT MEWS,51.53304,NO,23/09/2013,NO,-0.1694839
 NO,NO,180611,530085,WILLIAM IV STREET,51.509476,Yes,23/09/2013,NO,-0.1269071
 Yes,NO,180972,530018,LITCHFIELD STREET,51.512733,NO,20/12/2012,NO,-0.1277396
 NO,NO,181415,528290,SPANISH PLACE,51.51711,Yes,20/12/2012,NO,-0.1524666
 NO,NO,181294,529343,ADAM AND EVE COURT,51.51578,NO,28/02/2013,Yes,-0.1373434
 NO,NO,180558,530327,GEORGE COURT,51.50894,NO,28/02/2013,Yes,-0.1234422
 NO,NO,181024,528644,GLOBE YARD,51.513515,Yes,28/02/2013,NO,-0.1475102
 Yes,NO,181448,529266,MARYLEBONE PASSAGE,51.51718,NO,28/02/2013,NO,-0.138396
 Yes,NO,180641,529798,PANTON STREET,51.509808,NO,28/02/2013,NO,-0.1310284
