Site ID,Site Name,Borough,Easting,Northing,Owner
1,Hyde Park,Westminster,526927,180054,TfL
4,Kings College,Westminster,530827,180930,TfL
6,Victoria,Westminster,529255,179183,TfL
10,Covent Garden,Westminster,530338,180920,TfL
12,National Gallery East,Westminster,530041,180500,TfL
13,Shaftesbury Avenue,Westminster,529554,180685,TfL
17,Saville Row,Westminster,529198,180671,TfL
28,National Gallery West,Westminster,529927,180481,TfL
30,Soho/ Wardour Street,Westminster,529522,180152,TfL
31,Holborn,Westminster,530727,181555,TfL
36,The Strand,Westminster,530456,180745,TfL
37,The Westminster Academy,Westminster,525498,181803,TfL
38,St Augustine's CE School,Westminster,525435,183224,TfL
39,Edgware Road,Westminster,527715,181040,TfL
43,New Oxford Street,Westminster,529864,181396,TfL
54,Regent Street (E),Westminster,529357,180663,TfL
55,Regent Street (W),Westminster,529403,180625,TfL
